City,District,Province,Type,Size m2,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Mtayleb,El Metn,Mount Lebanon,Apartment,350,4,4,1500000,33.9006,35.6178
Shayle,Kesrouane,Mount Lebanon,Apartment,200,3,4,250000,33.9808,35.6856
Kfar Helda,Batroun,North,Land,120,0,0,550000,34.2556,35.6586
Bouchrieh,El Metn,Mount Lebanon,Shop,266,1,0,450000,33.9006,35.6178
Bouchrieh,El Metn,Mount Lebanon,Shop,200,1,0,370000,33.9006,35.6178
Bouchrieh,El Metn,Mount Lebanon,Shop,70,0,0,110000,33.9006,35.6178
Faytroun,Kesrouane,Mount Lebanon,Chalet,61,2,2,180000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,555,3,4,1800000,33.8886,35.4955
Aamchit,Jbeil,Mount Lebanon,Land,760,0,0,265000,34.1236,35.6455
Dbayeh,El Metn,Mount Lebanon,Office,170,2,0,575000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,147,2,3,620000,33.8886,35.4955
Zandouqa,Baabda,Mount Lebanon,Residential Building,200,0,0,1400000,33.8333,35.5442
Hboub,Jbeil,Mount Lebanon,Warehouse,750,1,0,465000,34.1236,35.6455
Edde,Jbeil,Mount Lebanon,Apartment,160,3,3,165000,34.1236,35.6455
Badaro,Beirut,Beirut,Apartment,120,2,2,275000,33.8886,35.4955
Roumie,El Metn,Mount Lebanon,Land,352,0,0,1000000,33.9006,35.6178
Achkout,Kesrouane,Mount Lebanon,Land,0,0,0,200000,33.9808,35.6856
Ras Beirut,Beirut,Beirut,Apartment,380,4,5,1300000,33.8886,35.4955
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,180,3,4,425000,33.8333,35.5442
Broumana,El Metn,Mount Lebanon,Apartment,260,3,4,500000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,167,3,3,270000,33.9006,35.6178
Majdel Tarchich,El Metn,Mount Lebanon,Land,400,0,0,690000,33.9006,35.6178
Ghosta,Kesrouane,Mount Lebanon,Land,725,0,0,210000,33.9808,35.6856
Ghazir,Kesrouane,Mount Lebanon,Shop,80,1,0,75000,33.9808,35.6856
Faraya,Kesrouane,Mount Lebanon,Chalet,80,2,2,240000,33.9808,35.6856
Aatchane,El Metn,Mount Lebanon,Apartment,110,2,2,346500,33.9006,35.6178
Aatchane,El Metn,Mount Lebanon,Apartment,110,2,2,240000,33.9006,35.6178
Aatchane,El Metn,Mount Lebanon,Apartment,110,2,2,165000,33.9006,35.6178
Dik El Mehdi,El Metn,Mount Lebanon,Apartment,235,3,4,350000,33.9006,35.6178
Dik El Mehdi,El Metn,Mount Lebanon,Apartment,156,3,4,284000,33.9006,35.6178
Aatchane,El Metn,Mount Lebanon,Apartment,140,3,3,250000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,180,3,4,300000,33.9006,35.6178
Hazmieh,Baabda,Mount Lebanon,Apartment,180,3,3,285000,33.8333,35.5442
Batroun,Batroun,North,Apartment,110,2,2,250000,34.2556,35.6586
Bsalim,El Metn,Mount Lebanon,Apartment,105,2,2,180000,33.9006,35.6178
Elissar,El Metn,Mount Lebanon,Apartment,175,3,3,250000,33.9006,35.6178
Ain El Rihani,Kesrouane,Mount Lebanon,Apartment,140,3,2,129000,33.9808,35.6856
Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,190,3,3,127000,33.9808,35.6856
Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,90,2,1,66000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Apartment,180,3,4,250000,34.1236,35.6455
Mechmech,Jbeil,Mount Lebanon,Land,849,0,0,50000,34.1236,35.6455
Mechmech,Jbeil,Mount Lebanon,Land,394,0,0,98000,34.1236,35.6455
Hboub,Jbeil,Mount Lebanon,Apartment,400,4,5,450000,34.1236,35.6455
Hboub,Jbeil,Mount Lebanon,Apartment,275,3,4,275000,34.1236,35.6455
Hboub,Jbeil,Mount Lebanon,Apartment,275,3,4,320000,34.1236,35.6455
Mansourieh,El Metn,Mount Lebanon,Apartment,280,3,4,245000,33.9006,35.6178
Hadath,Baabda,Mount Lebanon,Apartment,160,3,2,250000,33.8333,35.5442
Kaslik,Kesrouane,Mount Lebanon,Apartment,160,3,3,170000,33.9808,35.6856
Hazmieh,Baabda,Mount Lebanon,Apartment,200,3,4,385000,33.8333,35.5442
Batroun,Batroun,North,House/Villa,120,3,0,300000,34.2556,35.6586
Majdel Tarchich,El Metn,Mount Lebanon,Land,567,0,0,325000,33.9006,35.6178
Majdel Tarchich,El Metn,Mount Lebanon,Land,264,0,0,165000,33.9006,35.6178
Majdel Tarchich,El Metn,Mount Lebanon,Land,203,0,0,160000,33.9006,35.6178
Hadath,Baabda,Mount Lebanon,Apartment,120,3,3,115000,33.8333,35.5442
Mansourieh,El Metn,Mount Lebanon,Apartment,165,3,3,145000,33.9006,35.6178
