City,District,Province,Type,Size m2,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Baabda,Baabda,Mount Lebanon,Apartment,180,3,4,360000,33.8333,35.5442
Baabda,Baabda,Mount Lebanon,Apartment,225,3,4,450000,33.8333,35.5442
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,262,3,3,420000,33.9808,35.6856
Mansourieh,El Metn,Mount Lebanon,Apartment,80,2,2,79000,33.9006,35.6178
Mar Mikhael,Beirut,Beirut,Apartment,140,2,1,210000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Office,550,4,0,2000000,33.8886,35.4955
Shayle,Kesrouane,Mount Lebanon,Apartment,200,3,4,266000,33.9808,35.6856
Shayle,Kesrouane,Mount Lebanon,Apartment,200,3,3,359000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,230,3,3,505000,33.8886,35.4955
Jdeideh,El Metn,Mount Lebanon,Warehouse,0,1,0,650000,33.9006,35.6178
Faraya,Kesrouane,Mount Lebanon,Chalet,55,1,1,75000,33.9808,35.6856
Kaslik,Kesrouane,Mount Lebanon,Office,163,2,0,350000,33.9808,35.6856
Kaslik,Kesrouane,Mount Lebanon,Shop,55,1,0,195000,33.9808,35.6856
Qannabet Broumana,El Metn,Mount Lebanon,Apartment,150,3,3,235000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,145,3,3,230000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,240,3,2,200000,34.1236,35.6455
Bsalim,El Metn,Mount Lebanon,Apartment,140,3,3,165000,33.9006,35.6178
Dahr El Sawan,El Metn,Mount Lebanon,Apartment,160,3,3,250000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,125,2,2,245000,33.8886,35.4955
Gherfine,Jbeil,Mount Lebanon,Apartment,110,2,2,120000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,175,3,2,310000,33.8886,35.4955
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,259,3,3,415000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,262,3,3,400000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,262,4,4,630000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,253,3,3,400000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,396,4,4,565000,33.9808,35.6856
Ouyoun Al Simen,Kesrouane,Mount Lebanon,Chalet,100,2,1,300000,33.9808,35.6856
chnaniir,Kesrouane,Mount Lebanon,House/Villa,450,3,4,1000000,33.9808,35.6856
Baabdat,El Metn,Mount Lebanon,Apartment,165,3,3,350000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Office,110,2,0,265000,34.1236,35.6455
Sioufi,Beirut,Beirut,Apartment,140,2,2,360000,33.8886,35.4955
Sioufi,Beirut,Beirut,Apartment,300,2,2,415000,33.8886,35.4955
Ras Beirut,Beirut,Beirut,Apartment,110,2,3,190000,33.8886,35.4955
Bsalim,El Metn,Mount Lebanon,Apartment,165,3,3,285000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Apartment,150,2,3,195000,33.9808,35.6856
Kfar Aaqab,El Metn,Mount Lebanon,Land,156,0,0,925000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,106,2,2,310000,33.8886,35.4955
Blat,Jbeil,Mount Lebanon,Apartment,240,3,4,330000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Apartment,340,4,6,450000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Apartment,180,3,4,240000,34.1236,35.6455
Mansourieh,El Metn,Mount Lebanon,Apartment,220,3,4,390000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Apartment,580,4,7,1200000,33.9808,35.6856
Fidar,Jbeil,Mount Lebanon,Land,200,0,0,250000,34.1236,35.6455
Aintoura,El Metn,Mount Lebanon,Land,306,0,0,319000,33.9006,35.6178
Fidar,Jbeil,Mount Lebanon,Commercial Building,0,0,0,12000000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,106,2,2,150000,34.1236,35.6455
Achkout,Kesrouane,Mount Lebanon,Land,200,0,0,600000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,350,4,4,950000,33.8886,35.4955
Mazraat Yachouh,El Metn,Mount Lebanon,Commercial Building,714,0,0,2800000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,550,4,4,2200000,33.8886,35.4955
Ras Beirut,Beirut,Beirut,Apartment,550,4,4,1300000,33.8886,35.4955
Aamchit,Jbeil,Mount Lebanon,Apartment,150,3,3,165000,34.1236,35.6455
Mechmech,Jbeil,Mount Lebanon,House/Villa,300,4,3,250000,34.1236,35.6455
Klayaat,Kesrouane,Mount Lebanon,Land,420,0,0,320000,33.9808,35.6856
Badaro,Beirut,Beirut,Apartment,400,3,4,1000000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,130,2,2,275000,33.8886,35.4955
Badaro,Beirut,Beirut,Office,200,4,0,650000,33.8886,35.4955
New Mar Takla,Baabda,Mount Lebanon,Apartment,265,3,4,495000,33.8333,35.5442
Mansourieh,El Metn,Mount Lebanon,Apartment,200,3,5,225000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Office,300,4,0,900000,33.8886,35.4955
Dekweneh,El Metn,Mount Lebanon,Apartment,160,3,3,205000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,100,2,2,107000,33.9006,35.6178
Down Town,Beirut,Beirut,Shop,120,1,0,700000,33.8886,35.4955
Broumana,El Metn,Mount Lebanon,Land,850,0,0,850000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,170,3,4,235000,33.9006,35.6178
New Rawda,El Metn,Mount Lebanon,Apartment,100,2,2,96000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Land,600,0,0,450000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,310,4,5,495000,34.1236,35.6455
Zaarour,El Metn,Mount Lebanon,Chalet,140,2,2,325000,33.9006,35.6178
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,150,3,2,130000,33.8333,35.5442
Zikrit,El Metn,Mount Lebanon,Apartment,160,3,2,180000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,200,3,3,700000,33.8886,35.4955
Mar Mikhael,Beirut,Beirut,Apartment,135,3,2,375000,33.8886,35.4955
Blat,Jbeil,Mount Lebanon,Apartment,200,3,4,175000,34.1236,35.6455
Ras Beirut,Beirut,Beirut,Apartment,660,5,5,2200000,33.8886,35.4955
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,205,3,2,188000,33.9808,35.6856
Ballouneh,Kesrouane,Mount Lebanon,Apartment,300,4,4,220000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,140,2,3,550000,33.8886,35.4955
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,230,3,2,150000,33.8333,35.5442
Mtayleb,El Metn,Mount Lebanon,Apartment,300,5,5,475000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,250,3,3,700000,33.8886,35.4955
Rabieh,El Metn,Mount Lebanon,Apartment,450,4,4,850000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,475,4,5,2500000,33.8886,35.4955
Baabda,Baabda,Mount Lebanon,Warehouse,900,2,0,650000,33.8333,35.5442
Badaro,Beirut,Beirut,Apartment,235,3,3,850000,33.8886,35.4955
Adma,Kesrouane,Mount Lebanon,Apartment,160,3,3,220000,33.9808,35.6856
Ain El Rihani,Kesrouane,Mount Lebanon,Land,8,0,0,600000,33.9808,35.6856
Ouyoun Al Simen,Kesrouane,Mount Lebanon,Chalet,140,2,3,350000,33.9808,35.6856
Mar Moussa,El Metn,Mount Lebanon,Apartment,290,3,4,306000,33.9006,35.6178
Mar Moussa,El Metn,Mount Lebanon,Apartment,140,2,2,160000,33.9006,35.6178
Fatqa,Kesrouane,Mount Lebanon,Apartment,150,2,2,180000,33.9808,35.6856
Beit Meri,El Metn,Mount Lebanon,Apartment,45,1,1,98000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Land,0,0,0,5000000,33.9006,35.6178
Sin El Fil,El Metn,Mount Lebanon,Office,200,2,0,220000,33.9006,35.6178
Baskinta,El Metn,Mount Lebanon,Land,115,0,0,200000,33.9006,35.6178
New Mar Takla,Baabda,Mount Lebanon,Apartment,230,3,4,360000,33.8333,35.5442
Baabdat,El Metn,Mount Lebanon,Apartment,140,3,3,250000,33.9006,35.6178
Zabougha,El Metn,Mount Lebanon,Land,584,0,0,200000,33.9006,35.6178
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,150,3,2,150000,33.9808,35.6856
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,350,4,4,360000,33.9808,35.6856
Mansourieh,El Metn,Mount Lebanon,Apartment,175,3,3,265000,33.9006,35.6178
Baabda,Baabda,Mount Lebanon,Apartment,350,3,4,425000,33.8333,35.5442
Achrafieh,Beirut,Beirut,Apartment,250,3,3,650000,33.8886,35.4955
Daroun Harissa,Kesrouane,Mount Lebanon,Land,200,0,0,840000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,205,3,2,300000,33.9808,35.6856
Horsh Tabet,El Metn,Mount Lebanon,Residential Building,910,0,0,5000000,33.9006,35.6178
Horsh Tabet,El Metn,Mount Lebanon,Apartment,246,3,3,495000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,160,3,2,470000,33.8886,35.4955
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,150,3,3,200000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,120,2,2,107000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,130,2,2,500000,33.8886,35.4955
Aoukar,El Metn,Mount Lebanon,Apartment,260,3,5,375000,33.9006,35.6178
Batroun,Batroun,North,House/Villa,255,4,4,350000,34.2556,35.6586
Achrafieh,Beirut,Beirut,Apartment,174,3,3,575000,33.8886,35.4955
Aoukar,El Metn,Mount Lebanon,Apartment,110,2,2,170000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Land,336,0,0,2520000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,350,4,3,900000,33.8886,35.4955
Bouchrieh,El Metn,Mount Lebanon,Apartment,160,3,1,155000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,110,2,2,120000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Land,914,0,0,820000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Land,200,0,0,1140000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,120,2,2,150000,34.1236,35.6455
Bsalim,El Metn,Mount Lebanon,Apartment,230,3,4,350000,33.9006,35.6178
Gemayzeh,Beirut,Beirut,Office,125,1,0,380000,33.8886,35.4955
Ras Beirut,Beirut,Beirut,Apartment,215,3,3,750000,33.8886,35.4955
Jdeideh,El Metn,Mount Lebanon,Apartment,130,2,2,200000,33.9006,35.6178
Batroun,Batroun,North,Land,947,0,0,235000,34.2556,35.6586
Ras Beirut,Beirut,Beirut,Apartment,231,3,3,850000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,500,4,5,2600000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,300,3,3,450000,33.8886,35.4955
Qornet El Hamra,El Metn,Mount Lebanon,House/Villa,200,6,8,3000000,33.9006,35.6178
Kfarzebian,Kesrouane,Mount Lebanon,Land,694,0,0,600000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,145,2,2,980000,33.8886,35.4955
Jbeil,Jbeil,Mount Lebanon,Apartment,230,3,2,90000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,110,2,2,75000,34.1236,35.6455
Faytroun,Kesrouane,Mount Lebanon,Chalet,75,2,2,110000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,200,3,3,250000,33.8886,35.4955
Beit el Chaar,El Metn,Mount Lebanon,Apartment,125,2,2,115000,33.9006,35.6178
Horsh Tabet,El Metn,Mount Lebanon,Shop,99,1,0,260000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,125,1,2,900000,34.1236,35.6455
Fatqa,Kesrouane,Mount Lebanon,Apartment,150,2,2,175000,33.9808,35.6856
Laqlouq,Jbeil,Mount Lebanon,Land,951,0,0,354000,34.1236,35.6455
Laqlouq,Jbeil,Mount Lebanon,Land,12,0,0,101000,34.1236,35.6455
Hboub,Jbeil,Mount Lebanon,Land,400,0,0,450000,34.1236,35.6455
Batroun,Batroun,North,Apartment,175,2,3,400000,34.2556,35.6586
Adma,Kesrouane,Mount Lebanon,Apartment,280,3,5,520000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Office,120,1,0,110000,34.1236,35.6455
Faytroun,Kesrouane,Mount Lebanon,Apartment,220,3,3,145000,33.9808,35.6856
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,240,3,3,215000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,200,3,3,180000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,500,4,3,1550000,33.8886,35.4955
Saifi Village,Beirut,Beirut,Shop,130,2,0,335000,33.8886,35.4955
Dekweneh,El Metn,Mount Lebanon,Apartment,204,3,3,230000,33.9006,35.6178
Dekweneh,El Metn,Mount Lebanon,Apartment,186,3,3,220000,33.9006,35.6178
Dekweneh,El Metn,Mount Lebanon,Apartment,186,3,3,190000,33.9006,35.6178
Aamchit,Jbeil,Mount Lebanon,Apartment,250,3,3,275000,34.1236,35.6455
Fidar,Jbeil,Mount Lebanon,Apartment,300,3,5,430000,34.1236,35.6455
Laqlouq,Jbeil,Mount Lebanon,Land,90,0,0,80000,34.1236,35.6455
Ain Najem,El Metn,Mount Lebanon,Apartment,200,3,4,260000,33.9006,35.6178
Khenchara,El Metn,Mount Lebanon,House/Villa,0,3,5,1000000,33.9006,35.6178
Fanar,El Metn,Mount Lebanon,Apartment,175,3,3,260000,33.9006,35.6178
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,145,3,3,245000,33.9808,35.6856
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,165,3,3,265000,33.9808,35.6856
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,320,3,3,270000,33.8333,35.5442
Daraya,Kesrouane,Mount Lebanon,House/Villa,400,5,4,650000,33.9808,35.6856
Mar Chaaya,El Metn,Mount Lebanon,Apartment,250,3,3,460000,33.9006,35.6178
Kfarzebian,Kesrouane,Mount Lebanon,Land,716,0,0,600000,33.9808,35.6856
Zalka,El Metn,Mount Lebanon,Apartment,120,2,2,220000,33.9006,35.6178
Blat,Jbeil,Mount Lebanon,Land,720,0,0,515000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,95,1,2,595000,33.8886,35.4955
Kaslik,Kesrouane,Mount Lebanon,Chalet,63,2,2,235000,33.9808,35.6856
Gherfine,Jbeil,Mount Lebanon,Land,546,0,0,775000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,185,3,3,360000,34.1236,35.6455
Wata El Joz,Kesrouane,Mount Lebanon,Land,596,0,0,335000,33.9808,35.6856
Barbara,Jbeil,Mount Lebanon,Apartment,100,2,2,105000,34.1236,35.6455
Jal el Dib,El Metn,Mount Lebanon,Land,790,0,0,1738000,33.9006,35.6178
Jdeideh,El Metn,Mount Lebanon,Apartment,150,3,2,200000,33.9006,35.6178
Gherfine,Jbeil,Mount Lebanon,Land,500,0,0,525000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Shop,100,2,0,120000,34.1236,35.6455
Qartaboun,Jbeil,Mount Lebanon,Land,927,0,0,200000,34.1236,35.6455
Monteverde,El Metn,Mount Lebanon,Apartment,220,3,4,400000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,320,4,4,1100000,33.8886,35.4955
Ras Beirut,Beirut,Beirut,Apartment,300,3,3,700000,33.8886,35.4955
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,171,3,3,300000,33.9808,35.6856
Ras Beirut,Beirut,Beirut,Apartment,500,4,6,4300000,33.8886,35.4955
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,360,2,3,380000,33.9808,35.6856
Yahchouch,Kesrouane,Mount Lebanon,House/Villa,350,3,3,550000,33.9808,35.6856
Aoukar,El Metn,Mount Lebanon,House/Villa,450,3,4,420000,33.9006,35.6178
Kfour,Kesrouane,Mount Lebanon,Apartment,350,3,3,455000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,135,2,2,185000,33.8886,35.4955
Mansourieh,El Metn,Mount Lebanon,Apartment,160,3,4,245000,33.9006,35.6178
Broumana,El Metn,Mount Lebanon,Apartment,110,1,1,175000,33.9006,35.6178
Broumana,El Metn,Mount Lebanon,Apartment,150,3,3,230000,33.9006,35.6178
Broumana,El Metn,Mount Lebanon,Apartment,120,2,2,200000,33.9006,35.6178
Yarzeh,Baabda,Mount Lebanon,Land,296,0,0,2750000,33.8333,35.5442
Jounieh,Kesrouane,Mount Lebanon,Apartment,125,3,2,85000,33.9808,35.6856
Aamchit,Jbeil,Mount Lebanon,Office,60,1,0,85000,34.1236,35.6455
Klayaat,Kesrouane,Mount Lebanon,Apartment,360,4,4,425000,33.9808,35.6856
Mtayleb,El Metn,Mount Lebanon,Apartment,215,3,2,255000,33.9006,35.6178
Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,360,3,3,500000,33.9808,35.6856
Badaro,Beirut,Beirut,Apartment,240,3,3,450000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,330,3,4,850000,33.8886,35.4955
Sioufi,Beirut,Beirut,Apartment,221,3,3,350000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,330,3,4,850000,33.8886,35.4955
Mar Mikhael,Beirut,Beirut,Apartment,116,2,2,315000,33.8886,35.4955
Batroun,Batroun,North,House/Villa,240,1,1,310000,34.2556,35.6586
Achrafieh,Beirut,Beirut,Land,441,0,0,1545000,33.8886,35.4955
Adma,Kesrouane,Mount Lebanon,Land,414,0,0,5550000,33.9808,35.6856
Rabweh,El Metn,Mount Lebanon,Apartment,185,3,4,155000,33.9006,35.6178
Batroun,Batroun,North,House/Villa,140,2,3,180000,34.2556,35.6586
Achrafieh,Beirut,Beirut,Apartment,100,1,2,750000,33.8886,35.4955
Aamchit,Jbeil,Mount Lebanon,Land,985,0,0,800000,34.1236,35.6455
Ghosta,Kesrouane,Mount Lebanon,Apartment,180,3,3,220000,33.9808,35.6856
Bouar,Kesrouane,Mount Lebanon,Land,0,0,0,2000000,33.9808,35.6856
Louaize,Baabda,Mount Lebanon,Apartment,400,3,4,850000,33.8333,35.5442
Bouchrieh,El Metn,Mount Lebanon,Apartment,100,2,2,120000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Office,60,0,0,228000,33.8886,35.4955
Qartaboun,Jbeil,Mount Lebanon,Land,869,0,0,1250000,34.1236,35.6455
Badaro,Beirut,Beirut,Apartment,250,4,3,500000,33.8886,35.4955
Ras Beirut,Beirut,Beirut,Apartment,363,4,4,1050000,33.8886,35.4955
Kfour,Kesrouane,Mount Lebanon,Land,825,0,0,330000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,160,2,3,445000,33.8886,35.4955
Batroun,Batroun,North,Apartment,165,2,3,120000,34.2556,35.6586
Achrafieh,Beirut,Beirut,Office,180,3,2,250000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Shop,310,2,0,310000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,256,3,4,950000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,120,3,2,400000,33.8886,35.4955
Mar Mikhael,Beirut,Beirut,Apartment,280,2,3,600000,33.8886,35.4955
Beit Chabeb,El Metn,Mount Lebanon,Apartment,230,3,3,235000,33.9006,35.6178
Ajaltoun,Kesrouane,Mount Lebanon,Land,0,0,0,350000,33.9808,35.6856
Sin El Fil,El Metn,Mount Lebanon,Warehouse,175,0,0,700000,33.9006,35.6178
Sin El Fil,El Metn,Mount Lebanon,Warehouse,641,0,0,900000,33.9006,35.6178
Sin El Fil,El Metn,Mount Lebanon,Warehouse,83,1,0,100000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,325,3,3,1050000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,312,3,4,1100000,33.8886,35.4955
Tabarja,Kesrouane,Mount Lebanon,Land,643,0,0,5500000,33.9808,35.6856
Baabdat,El Metn,Mount Lebanon,Apartment,140,3,3,200000,33.9006,35.6178
Tabarja,Kesrouane,Mount Lebanon,Land,385,0,0,9500000,33.9808,35.6856
Zikrit,El Metn,Mount Lebanon,Apartment,100,2,2,117000,33.9006,35.6178
Zikrit,El Metn,Mount Lebanon,Apartment,130,3,2,162000,33.9006,35.6178
Bolonia,El Metn,Mount Lebanon,Land,400,0,0,750000,33.9006,35.6178
Zaarour,El Metn,Mount Lebanon,Apartment,137,2,3,280000,33.9006,35.6178
Fanar,El Metn,Mount Lebanon,Apartment,300,3,5,500000,33.9006,35.6178
Mtayleb,El Metn,Mount Lebanon,Apartment,235,3,4,700000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,100,10,8,1300000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,195,3,2,600000,33.8886,35.4955
Baabda,Baabda,Mount Lebanon,Land,120,0,0,1800000,33.8333,35.5442
Mansourieh,El Metn,Mount Lebanon,Apartment,100,2,2,175000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,260,3,4,975000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,170,2,3,530000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,155,2,3,480000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,75,1,1,320000,33.8886,35.4955
Fakra,Kesrouane,Mount Lebanon,Land,600,0,0,750000,33.9808,35.6856
Kfarzebian,Kesrouane,Mount Lebanon,Land,95,0,0,550000,33.9808,35.6856
Aamchit,Jbeil,Mount Lebanon,Apartment,240,3,3,280000,34.1236,35.6455
Antelias,El Metn,Mount Lebanon,Apartment,165,3,2,165000,33.9006,35.6178
Jal el Dib,El Metn,Mount Lebanon,Apartment,350,5,5,650000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Apartment,260,3,3,580000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Apartment,325,3,3,600000,33.9808,35.6856
Ras Beirut,Beirut,Beirut,Apartment,420,3,4,1700000,33.8886,35.4955
Sioufi,Beirut,Beirut,Apartment,240,3,4,935000,33.8886,35.4955
Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,155,3,3,210000,33.9808,35.6856
Ras Beirut,Beirut,Beirut,Apartment,400,4,3,1500000,33.8886,35.4955
Beit Meri,El Metn,Mount Lebanon,Apartment,130,2,4,215000,33.9006,35.6178
Ain El Rihani,Kesrouane,Mount Lebanon,Land,77,0,0,270000,33.9808,35.6856
Ain El Rihani,Kesrouane,Mount Lebanon,Land,178,0,0,300000,33.9808,35.6856
Kfar Aabida,Batroun,North,Apartment,160,3,3,165000,34.2556,35.6586
Broumana,El Metn,Mount Lebanon,Apartment,190,3,3,220000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,140,3,2,149000,33.9006,35.6178
Baabda,Baabda,Mount Lebanon,Land,297,0,0,1600000,33.8333,35.5442
Gherfine,Jbeil,Mount Lebanon,Apartment,350,3,3,235000,34.1236,35.6455
Gherfine,Jbeil,Mount Lebanon,Apartment,130,3,3,117000,34.1236,35.6455
Gherfine,Jbeil,Mount Lebanon,Apartment,175,3,3,225000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,300,3,2,500000,33.8886,35.4955
Jbeil,Jbeil,Mount Lebanon,House/Villa,750,4,6,850000,34.1236,35.6455
Sioufi,Beirut,Beirut,Apartment,300,3,4,800000,33.8886,35.4955
Chabtine,Batroun,North,Land,200,0,0,220000,34.2556,35.6586
Beit Chabeb,El Metn,Mount Lebanon,House/Villa,598,3,1,350000,33.9006,35.6178
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,200,2,2,175000,33.9808,35.6856
Batroun,Batroun,North,Land,833,0,0,1600000,34.2556,35.6586
Batroun,Batroun,North,Land,696,0,0,50000,34.2556,35.6586
Adma,Kesrouane,Mount Lebanon,House/Villa,600,4,5,2000000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,492,4,3,775000,33.9808,35.6856
Chabtine,Batroun,North,Land,523,0,0,150000,34.2556,35.6586
Tabarja,Kesrouane,Mount Lebanon,Apartment,294,3,5,700000,33.9808,35.6856
Lehfed,Jbeil,Mount Lebanon,Land,650,0,0,310000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Apartment,205,3,3,185000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Apartment,190,3,3,185000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Apartment,171,3,3,160000,34.1236,35.6455
Faraya,Kesrouane,Mount Lebanon,Chalet,90,2,1,85000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Land,304,0,0,1700000,33.8886,35.4955
Adonis,Kesrouane,Mount Lebanon,Apartment,230,4,4,250000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,355,3,5,450000,33.9808,35.6856
Antelias,El Metn,Mount Lebanon,Apartment,147,3,3,205000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,307,3,4,1000000,33.8886,35.4955
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,240,3,3,410000,33.9006,35.6178
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,230,3,4,360000,33.9006,35.6178
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,330,4,4,480000,33.9006,35.6178
Nabey,El Metn,Mount Lebanon,Apartment,120,2,2,155000,33.9006,35.6178
Mechmech,Jbeil,Mount Lebanon,Land,0,0,0,600000,34.1236,35.6455
Mechmech,Jbeil,Mount Lebanon,Land,500,0,0,150000,34.1236,35.6455
Bsalim,El Metn,Mount Lebanon,Apartment,150,3,3,247000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,170,3,3,280000,33.9006,35.6178
Dbayeh,El Metn,Mount Lebanon,Office,85,1,0,320000,33.9006,35.6178
Jouret Al Ballout,El Metn,Mount Lebanon,Land,457,0,0,2190000,33.9006,35.6178
Roumie,El Metn,Mount Lebanon,Apartment,170,2,3,320000,33.9006,35.6178
Beit Meri,El Metn,Mount Lebanon,Apartment,225,3,4,265000,33.9006,35.6178
Aamchit,Jbeil,Mount Lebanon,Land,320,2,2,215000,34.1236,35.6455
Fanar,El Metn,Mount Lebanon,Warehouse,400,0,0,175000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,350,4,6,350000,33.9006,35.6178
Aannaya,Jbeil,Mount Lebanon,Chalet,95,2,2,85000,34.1236,35.6455
Safra,Kesrouane,Mount Lebanon,Land,340,0,0,465000,33.9808,35.6856
Bhamdoun,Aley,Mount Lebanon,Land,0,0,0,300000,33.8056,35.5978
Batroun,Batroun,North,Apartment,145,2,3,190000,34.2556,35.6586
Aamchit,Jbeil,Mount Lebanon,Land,146,0,0,250000,34.1236,35.6455
Ras Beirut,Beirut,Beirut,Apartment,129,3,2,300000,33.8886,35.4955
Bsalim,El Metn,Mount Lebanon,Apartment,120,2,2,174000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,120,2,2,215000,33.9006,35.6178
